"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region","cat","cat2","Region2"
223119,"SUERC-1356",4755,45,"grain (charred)","Hordeum vulgare",6692,"Forest Road, Kintore",-2.3539,57.2363,"Scotland","barley","Wheat + Barley","scotland_main"
223130,"SUERC-1593",4835,45,"nutshell (charred)","Corylus avellana",23077,"Drumoig, Leuchars",-2.9125,56.4148,"Scotland","hazelnut","Hazelnut","scotland_main"
223135,"SUERC-1632",4985,40,"grain (charred)","Hordeum vulgare",23077,"Drumoig, Leuchars",-2.9125,56.4148,"Scotland","barley","Wheat + Barley","scotland_main"
21432,"SUERC-16835",4560,35,"grain","Hordeum vulgare nudum",23097,"Upper Forth Crossing/ Meadowend Farm",-3.7276,56.0917,"Scotland","barley","Wheat + Barley","scotland_main"
21434,"SUERC-16894",4450,40,"grain","Hordeum vulgare nudum",23097,"Upper Forth Crossing/ Meadowend Farm",-3.7276,56.0917,"Scotland","barley","Wheat + Barley","scotland_main"
74921,"SUERC-18835",4105,30,"nutshell (charred)","Corylus avellana",21490,"Cotswold Community",-1.9517,51.6591,"SEEngland","hazelnut","Hazelnut","england_wales"
67083,"SUERC-18866",4930,30,"nutshell","Corylus avellana",19387,"Maybole",-4.6785,55.3458,"Scotland","hazelnut","Hazelnut","scotland_main"
226468,"SUERC-19247",4950,35,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
226469,"SUERC-19248",4920,30,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
226470,"SUERC-19249",4990,40,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
226471,"SUERC-19250",5020,30,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
226472,"SUERC-19254",4925,30,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
226473,"SUERC-19255",4915,30,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
226474,"SUERC-19256",4955,35,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
226475,"SUERC-19257",4915,25,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
226476,"SUERC-19258",4980,30,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
226477,"SUERC-19259",4890,30,"grain (charred)","Triticum dicoccum",23168,"Locherbie Academy",-3.3599,55.1313,"Scotland","wheat","Wheat + Barley","scotland_main"
57751,"SUERC-19597",3700,30,"nutshell","Corylus avellana",23174,"Park Grove, Euston Estate, Sapiston, St Edmundsbury",0.8243,52.3514,"SEEngland","hazelnut","Hazelnut","england_wales"
223178,"SUERC-2095",4900,35,"nutshell (charred)","Corylus avellana",759,"Pict's Knowe",-3.6384,55.0326,"Scotland","hazelnut","Hazelnut","scotland_main"
223182,"SUERC-2115",4960,35,"nutshell (charred)","Corylus avellana",23215,"Holywood North",-3.647,55.1043,"Scotland","hazelnut","Hazelnut","scotland_main"
57778,"SUERC-21250",4690,30,"nutshell (charred)","Corylus avellana",23218,"Mitchell Laithes Farm, Wakefield",-1.6003,53.6749,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
57781,"SUERC-21256",3945,30,"nutshell (charred)","Corylus avellana",23218,"Mitchell Laithes Farm, Wakefield",-1.6003,53.6749,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
