"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region","cat","cat2","Region2"
67213,"SUERC-39754",2995,35,"nutshell (charred)","Corylus avellana",23609,"Echline Fields, South Queensferry",-3.4117,56.0221,"Scotland","hazelnut","Hazelnut","sea"
223234,"SUERC-4030",5005,35,"grain (charred)","Hordeum vulgare nudum",22990,"Crathes, Warren Field",-2.4315,57.0606,"Scotland","barley","Wheat + Barley","scotland_main"
223236,"SUERC-4032",4990,40,"grain (charred)","Triticum dicoccum",22990,"Crathes, Warren Field",-2.4315,57.0606,"Scotland","wheat","Wheat + Barley","scotland_main"
223237,"SUERC-4033",4950,35,"grain (charred)","Triticum dicoccum",22990,"Crathes, Warren Field",-2.4315,57.0606,"Scotland","wheat","Wheat + Barley","scotland_main"
223238,"SUERC-4034",4945,35,"grain (charred)","Hordeum vulgare nudum",22990,"Crathes, Warren Field",-2.4315,57.0606,"Scotland","barley","Wheat + Barley","scotland_main"
223239,"SUERC-4038",4980,35,"grain (charred)","Triticum aestivum/compactum/turgidum",22990,"Crathes, Warren Field",-2.4315,57.0606,"Scotland","wheat","Wheat + Barley","scotland_main"
71308,"SUERC-40743",4775,35,"grain (charred)","Triticum dicoccum",23615,"East Kent Access Road EKA09",1.3549,51.3294,"SEEngland","wheat","Wheat + Barley","england_wales"
71309,"SUERC-40744",4730,35,"nutshell (charred)","Corylus avellana",23615,"East Kent Access Road EKA09",1.3549,51.3294,"SEEngland","hazelnut","Hazelnut","england_wales"
211965,"SUERC-4119",4525,40,"grain (charred)","Hordeum vulgare",16731,"Skara Brae",-3.3417,59.0487,"Scotland","barley","Wheat + Barley","scottish_isles"
211966,"SUERC-4121",4530,35,"grain (charred)","Hordeum vulgare",16731,"Skara Brae",-3.3417,59.0487,"Scotland","barley","Wheat + Barley","scottish_isles"
223247,"SUERC-4128",4690,35,"nutshell (charred)","Corylus avellana",6692,"Forest Road, Kintore",-2.3539,57.2363,"Scotland","hazelnut","Hazelnut","scotland_main"
67534,"SUERC-41453",4646,30,"nutshell (charred)","Corylus avellana",23632,"North Fen, Sutton Gault",0.0635,52.4119,"SEEngland","hazelnut","Hazelnut","england_wales"
67536,"SUERC-41455",4705,30,"nutshell (charred)","Corylus avellana",23632,"North Fen, Sutton Gault",0.0635,52.4119,"SEEngland","hazelnut","Hazelnut","england_wales"
67537,"SUERC-41456",4700,30,"nutshell (charred)","Corylus avellana",23632,"North Fen, Sutton Gault",0.0635,52.4119,"SEEngland","hazelnut","Hazelnut","england_wales"
67533,"SUERC-41464",4675,30,"nutshell (charred)","Corylus avellana",23632,"North Fen, Sutton Gault",0.0635,52.4119,"SEEngland","hazelnut","Hazelnut","england_wales"
